seq,lob_time,t_send,t_reflex,t_fpga,latency_gap_ns,reflex_act,fpga_score,final_dec
180,34209.494770026,164283486547590,164283486557799,0,-1,TAKE_LIQUIDITY,0.0,BUY
181,34209.506557426,164283506566167,164283506577498,0,-1,TAKE_LIQUIDITY,0.0,BUY
182,34209.522721597,164283526587038,164283526601005,0,-1,TAKE_LIQUIDITY,0.0,BUY
183,34209.54252448,164283546600195,164283546609753,0,-1,TAKE_LIQUIDITY,0.0,BUY
184,34209.542622307,164283566619474,164283566634131,0,-1,TAKE_LIQUIDITY,0.0,BUY
185,34209.780716781,164283586634905,164283586646667,0,-1,TAKE_LIQUIDITY,0.0,BUY
186,34209.780716781,164283606654754,164283606667288,0,-1,TAKE_LIQUIDITY,0.0,BUY
187,34209.780716781,164283626675385,164283626690313,0,-1,TAKE_LIQUIDITY,0.0,BUY
188,34209.780716781,164283646688442,164283646698080,0,-1,TAKE_LIQUIDITY,0.0,BUY
189,34209.780806936,164283666709914,164283666726405,0,-1,TAKE_LIQUIDITY,0.0,BUY
190,34209.780840766,164283686727319,164283686738770,0,-1,TAKE_LIQUIDITY,0.0,BUY
191,34209.784078285,164283706746437,164283706758379,0,-1,TAKE_LIQUIDITY,0.0,BUY
192,34209.784078285,164283726766997,164283726782216,0,-1,TAKE_LIQUIDITY,0.0,BUY
193,34209.786185996,164283746789121,164283746806564,0,-1,TAKE_LIQUIDITY,0.0,BUY
194,34209.786185996,164283766804502,164283766815593,0,-1,TAKE_LIQUIDITY,0.0,BUY
195,34209.786185996,164283786827417,164283786844179,0,-1,TAKE_LIQUIDITY,0.0,BUY
196,34209.786266076,164283806851374,164283806867434,0,-1,TAKE_LIQUIDITY,0.0,BUY
197,34209.801542957,164283826872566,164283826888366,0,-1,TAKE_LIQUIDITY,0.0,BUY
198,34209.808502833,164283846893738,164283846908526,0,-1,TAKE_LIQUIDITY,0.0,BUY
199,34209.828774041,164283866907626,164283866919098,0,-1,TAKE_LIQUIDITY,0.0,BUY
200,34209.828774041,164283886928848,164283886945069,0,-1,TAKE_LIQUIDITY,0.0,BUY
201,34209.829435704,164283906978103,164283906997329,0,-1,TAKE_LIQUIDITY,0.0,BUY
202,34209.830562764,164283927019172,164283927049589,0,-1,TAKE_LIQUIDITY,0.0,BUY
203,34209.831705108,164283947059830,164283947091269,0,-1,TAKE_LIQUIDITY,0.0,BUY
204,34209.832801235,164283967086713,164283967104506,0,-1,TAKE_LIQUIDITY,0.0,BUY
205,34209.833894341,164283987158960,164283987179880,0,-1,TAKE_LIQUIDITY,0.0,BUY
206,34209.834919765,164284007187186,164284007207554,0,-1,TAKE_LIQUIDITY,0.0,BUY
207,34210.047332639,164284027256748,164284027269041,0,-1,TAKE_LIQUIDITY,0.0,BUY
208,34210.047460295,164284047279102,164284047299761,0,-1,TAKE_LIQUIDITY,0.0,BUY
209,34210.131535502,164284067306576,164284067323778,0,-1,TAKE_LIQUIDITY,0.0,BUY
210,34210.241247257,164284087337165,164284087363254,0,-1,TAKE_LIQUIDITY,0.0,BUY
211,34210.241257287,164284107351625,164284107366513,0,-1,TAKE_LIQUIDITY,0.0,BUY
212,34210.526792927,164284127383186,164284127407271,0,-1,TAKE_LIQUIDITY,0.0,BUY
213,34210.526810312,164284147401563,164284147414256,0,-1,TAKE_LIQUIDITY,0.0,BUY
214,34210.632267021,164284167422534,164284167438073,0,-1,TAKE_LIQUIDITY,0.0,BUY
215,34210.756845815,164284187438807,164284187451310,0,-1,TAKE_LIQUIDITY,0.0,BUY
216,34210.75693317,164284207469126,164284207493582,0,-1,TAKE_LIQUIDITY,0.0,BUY
